,,,,Minute Level SiteSage Data,, 2014-07-29 22:57:00,Customer: ,Giulia Marinello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column name is Energy Monitor Channel Number-Circuit Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Columns contain average power usage(production) in watts for minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage is average voltage for minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,3,,5,6,7,8,9,10,11,12,13,,A-1,A-2,A-3,A-4,A-5,,A-7,A-8,A-9,A-10,B-1,B-2,,,,,,,,,,,,,,,,,,,14881,
Date/Time,,Main Power,,Oven,,Furnace fan,Office outlet,Basement outlets and lights,Office outlet{1},Dining Room outlets,Basement closet light,Basement lights,Living Room outlet,Air Conditioner,,washing machine,Basement lights{1},First Floor lights and outlets,Kitchen outlet,clothes dryer,,Second Floor lights and outlets,S bedroom outlet,First floor outlets and lights,East bedroom outlets,Second Floor outlets,Refrigerator,,,,,,,,,,,,,,,,,,,Voltage,Outdoor Temp
2014-07-02 01:20:00,0,105,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.9,0
2014-07-02 01:21:00,0,105,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.9,0
2014-07-02 01:22:00,0,150,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.8,0
2014-07-02 01:23:00,0,230,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.1,0
2014-07-02 01:24:00,0,222,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.3,0
2014-07-02 01:25:00,0,220,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.8,0
2014-07-02 01:26:00,0,534,0,0,0,26,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,62,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.6,0
2014-07-02 01:27:00,0,3429,0,0,0,634,0,0,0,0,0,0,0,2590,0,0,0,0,0,0,0,61,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.1,0
2014-07-02 01:28:00,0,3421,0,0,0,638,0,0,0,0,0,0,0,2580,0,0,0,0,0,0,0,62,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.1,0
2014-07-02 01:29:00,0,3426,0,0,0,637,0,0,0,0,0,0,0,2588,0,0,0,0,0,0,0,62,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0
